message,label
Massive discount on diamond jewelry. Limited stock!,spam
Upskill today. Tech certification courses available.,spam
"Add inches! Revolutionary product, discreet shipping.",spam
Got an extra ticket for the theater. Want to come?,ham
Light up your home. Festive décor sale now on.,spam
Make a splash! Yacht rentals at throwaway prices.,spam
Say goodbye to bad hair days. Salon treatment deals.,spam
Get a fresh start! Wipe your debt slate clean.,spam
VIP entry to the biggest event of the year. Claim spot.,spam
Boost your immune system. Special herbal teas on sale.,spam
"Ugh, Monday again. Need my dose of caffeine.",ham
Achieve fitness. Exclusive access to a fitness bootcamp.,spam
Missing out! Everyone is using this app.,spam
Real estate secrets unveiled! Buy your dream house now.,spam
Secure your family's future. Exclusive insurance deals inside.,spam
Today only! Get your dream gadget at half price.,spam
Wow your partner tonight. Learn the secret.,spam
Got a DIY project. Wanna team up?,ham
Sis! Huge sale! Shopping spree?,ham
Get a master's degree online. Scholarships available.,spam
How's your pottery class? Making anything for me?,ham
"Hey, hope you're feeling better. Take care.",ham
Looking for fame? Star in our next movie.,spam
Drop 3 dress sizes! New slimming drink available.,spam
New sushi place opened up. Wanna check it out?,ham
Need quick cash? Approved loan inside.,spam
Stay ahead of the trend! Pre-launch offers now.,spam
The planetarium has a new show. Interested?,ham
Any advice on house plants? My fern's not doing well.,ham
Let's relaunch our college magazine. Thoughts?,ham
"Man, that test was brutal. How'd you do?",ham
Unlock your psychic potential. Courses starting soon.,spam
Great game last night! Let's do it again.,ham
You won't believe what I heard. Call me!,ham
Happy Birthday! Hope you have a great day.,ham
Let's plan a beach day before summer ends.,ham
How's the new pup? Must be a handful!,ham
Boost your energy. Natural supplements on discount.,spam
Don't miss out! Free iPhone to our 100th subscriber.,spam
Finished that book. Need another one ASAP!,ham
Win a luxury car! Just participate in our simple survey.,spam
Got tickets to the charity gala. Joining?,ham
Stressed about exams. Study session?,ham
House party. You down?,ham
Got free tickets for the show. Wanna join?,ham
Boost your credit score overnight. Try this now.,spam
Loved your trip photos! The beach looked great.,ham
Be a star! Acting secrets revealed.,spam
"Hello, Winner! Your dream vacation awaits.",spam
Been practicing guitar. Jam session soon?,ham
Saw a cute dress that you'd totally rock. Buying it?,ham
Let's recreate that picnic from last summer!,ham
Let's start our podcast. Seriously.,ham
Let's volunteer for the community event.,ham
Mystery prize waiting for you. Claim now!,spam
Eliminate all your fears! Proven method inside.,spam
Supercharge your morning. Gourmet coffee beans inside.,spam
Wanna go thrifting this weekend? Need some finds.,ham
Eliminate your debt with this one trick.,spam
Last chance! Premium wines at unbeatable prices.,spam
The project's done. Sending it for your review.,ham
Clear skin is a tap away. Unbelievable skincare deal inside.,spam
Unlock success! Attend our free webinar.,spam
Gf's mad at me. Any advice on making up?,ham
Massive discounts on electronics. Today only!,spam
Turn back the clock. Revolutionary age-defying techniques.,spam
Celebrity secrets revealed! Exclusive access inside.,spam
Binge-watching any new series? Need recs!,ham
Your recent sketches are amazing! Selling any?,ham
This isn't a drill! Last day for our mega sale.,spam
Be the change. Attend our life-changing seminar.,spam
Start earning from home. No experience needed.,spam
Our fave band's coming to town! Tickets?,ham
No more stress. Relaxation techniques unveiled.,spam
Instant results! Weight loss secrets revealed.,spam
Let's drop by the beach. Need that sun and sea!,ham
Convert your room into a theater. Home system discounts.,spam
Attending any workshops soon? Looking for recommendations.,ham
Dream big? Make it a reality. Click to know more.,spam
Free psychic reading. Discover your future.,spam
Your recent vacation pics? Stunning!,ham
Turn back time! Revolutionary skincare inside.,spam
Left my charger at your place. Can I get it tomorrow?,ham
The astronomy event's next month. Let's go!,ham
Are you the next top model? Auditions open.,spam
Wanna join us for a board game night?,ham
Unlock massive earnings! Trading secrets unveiled.,spam
Long week! Some retail therapy this weekend?,ham
Make dreams come true. Join our secret society.,spam
Your parcel arrived. I'll keep it safe.,ham
All-in-one beauty kit. Special launch offer!,spam
"OMG, that new café? Their desserts!",ham
That gig was off the chain! Still buzzing.,ham
Your post on mental health was touching. Kudos!,ham
Massive sale! Everything at 70% off.,spam
Ready for a surprise? Click to reveal.,spam
That new show starts tonight. Popcorn ready?,ham
Doing laundry. Need anything washed?,ham
How's your dad's recovery going?,ham
"Damn, that workout had me sweating buckets.",ham
Don't miss out! Clearance sale ends today.,spam
"LOL, saw your comment. You crack me up.",ham
Aunt Lucy's recipe? Could you share it again?,ham
This secret formula will change your life.,spam
"Yo, found your old notebook at my place.",ham
"Yo, that dance class is doing wonders for you!",ham
100% natural! Miracle cure for all ailments. Order today.,spam
Binge-watching the new series. Join me?,ham
"Bruh, that meme you sent had me rolling.",ham
"You were right, that series is mind-blowing!",ham
Shine bright! Exclusive diamond collection on sale.,spam
Crazy deal! Shopping spree?,ham
The housing market boom! Invest now.,spam
Speak confidently. Voice training sessions inside.,spam
Boost your brand. Influencer collaborations await.,spam
That new track is straight fire! Have you heard it?,ham
Just baked some cookies. Wanna taste-test?,ham
LOL! That meme you sent. Day made!,ham
That new restaurant downtown? Worth a visit?,ham
That new album you suggested? On repeat.,ham
The local theater's doing a classic night. Join?,ham
Got any plans this weekend? Let's chill.,ham
Game night at my place this Friday. Interested?,ham
I've signed up for salsa classes. Excited!,ham
Hope the workshop went well. Eager to hear the updates!,ham
Unlock your potential! Exclusive masterclass available.,spam
Let's do a throwback trip to our old school.,ham
"Dude, that meme you sent? Day made!",ham
Reinvent yourself! Exclusive personal grooming products.,spam
Enhance your skills. Free online workshop.,spam
Can you help with my computer? Acting up again.,ham
Protect your assets. Best security solutions inside.,spam
"Bro, these weight-loss shakes are off the chain. Wanna try?",spam
Unlock immense wealth! Attend our millionaire mindset seminar.,spam
Lost my charger. Mind if I borrow yours?,ham
Free land! Build your dream home.,spam
How's the dance class going? Loving it?,ham
Sending over some childhood photos. Prepare to laugh!,ham
Want to be a top influencer? Click here.,spam
"Make $5,000/month. No experience needed. Enroll now!",spam
Luxury villa stays at budget prices. Book now.,spam
Trade like a pro. Access to elite stock tips.,spam
Did you get the invite for the reunion? RSVPed?,ham
"Haha, remember our college pranks? Good times.",ham
Can't sleep? Instant relief solution available.,spam
Turn your hobby into a business. Free guide inside.,spam
Say goodbye to bad hair days! Haircare sale.,spam
I might be moving to a new city. Big news!,ham
Lost my wallet. Did I leave it at your place?,ham
🔥 Hot real estate deals. Invest for a 300% return.,spam
Secure your child's future. Premium education plans.,spam
Discover the secret to eternal youth. Order now.,spam
That song you shared? Absolute banger!,ham
Remember to get your tickets for the charity ball.,ham
Met your sister at the store. She sends her love.,ham
Need your advice on something. Call?,ham
Those muffins you made were delicious!,ham
VIP tickets to the hottest event. Buy now.,spam
VIP Offer: Top-rated anti-aging cream at 80% off.,spam
Can you send over the meeting minutes?,ham
"That was some drama at the office today, huh?",ham
Sculpt your body. Special offers on fitness equipment.,spam
Mastermind event alert! Rub shoulders with the elites.,spam
The gym's offering a new yoga class. Interested?,ham
Illuminate your space. Designer lighting sale open.,spam
Open sesame! Magical artifacts at 80% off.,spam
Be your own boss! Work from home opportunity inside.,spam
VIP event! Rub shoulders with celebrities.,spam
Did you grab tickets for the upcoming fest?,ham
Saw you at the café. Was that a date? 😉,ham
Huge giveaway alert! Enter now to win.,spam
I got the tickets for the art exhibition. Excited?,ham
Don't miss out! Mega electronics sale.,spam
Remember our old school song? It’s stuck in my head.,ham
Enlarge and enhance! Natural methods that work.,spam
What's up? Haven't caught up in a while.,ham
Make money without working! Click to find out.,spam
"Oof, Monday blues hitting hard. Coffee break?",ham
Attention! Confirm your email or lose access.,spam
"Get thicker, longer hair with this serum.",spam
New pizza place in town. Worth the hype?,ham
That recipe you shared? It was a hit!,ham
I heard you're moving. Exciting times!,ham
Top doctors reveal the secrets to eternal youth. Discover now.,spam
Gardening tips? My roses need a savior!,ham
Drive your dream. Zero down payment car sale.,spam
Yo! That concert last night was everything.,ham
"Dude, your playlist is fire!",ham
How's the new job? Must be exciting.,ham
Did you get the email I sent yesterday?,ham
Send me that recipe you were talking about.,ham
"Sun's out, fun's out! Beach day?",ham
Step into a world of luxury. Private jet deals available.,spam
"Hey, did you leave your jacket at mine?",ham
Attention shoppers! Mega clearance. Everything must go.,spam
Lose 10 pounds in a week with our new pill!,spam
Found a great tutor for the kids. Details?,ham
Free flight tickets for two. Claim now!,spam
Luxury yachts at unbelievable discounts.,spam
Unlock massive deals. Click before midnight.,spam
Crack the code! Lottery secrets revealed.,spam
That homemade pizza? Legit the best!,ham
Your library book's due. Don't forget!,ham
Can't stop listening to that song you recommended. It's a bop!,ham
Need a quick favor. Can you cover for me today?,ham
Drive home a brand new bike. Enter our lucky draw.,spam
Unlock limitless wealth! Try our new investment strategy.,spam
Got any series recommendations? Need something new to dive into.,ham
Picked up a new hobby. You'll never guess what!,ham
Unlock fortune! Try our luck-enhancing charms.,spam
